Permit Number,Owner Name,Operating Name,Street,City,State,Zip,Zip4,County,Latitude,Longitude
AZ-W-15006,"CANELO HILLS VINEYARD AND WINERY, L.L.C.",,342 ELGIN RD,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6586514,-110.5425588
AZ-W-15007,BOSTOCK WINERY INC,BOSTOCK WINERY,3248  HIGHWAY 82,SONOITA,AZ,85637,0000,SANTA CRUZ,31.6795337,-110.6553594
AZ-W-15008,"ALCANTARA, L.L.C.",ALCANTARA VINEYARDS & WINERY,7500  E ALCANTARA WAY,COTTONWOOD,AZ,86326,0000,YAVAPAI,34.7391876,-112.0098791
AZ-W-15009,"JAVELINA LEAP VINEYARD & WINERY, LLC",,1565 PAGE SPRINGS RD,CORNVILLE,AZ,86325,0000,YAVAPAI,34.7605099,-111.887607
AZ-W-15010,"SYCAMORE CANYON WINERY, LLC",SYCAMORE CANYON WINERY,2620 DANCING APACHE RD,CORNVILLE,AZ,86325,0000,YAVAPAI,34.7755925,-111.8974283
AZ-W-15011,"CORONADO VINEYARDS, INC.",CORONADO VINEYARDS,2909 E COUNTRY CLUB DR,WILLCOX,AZ,85643,3376,COCHISE,32.303922,-109.7884087
AZ-W-15012,"SU VINO WINERY SCOTTSDALE, INC.",SU VINO WINERY,7035  E MAIN ST,SCOTTSDALE,AZ,85251,0000,MARICOPA,33.49239,-111.929642
AZ-W-15013,"MANNING AND MANNING, INC.",KIEF-JOSHUA VINEYARD,370 ELGIN RD,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6591224,-110.5425562
AZ-W-15014,"WORLD OF WINES, LLC","D'VINE WINE, YOUR PERSONAL WINERY",6926 E MAIN ST,SCOTTSDALE,AZ,85251,4312,MARICOPA,33.493336,-111.931446
AZ-W-15015,"JEROME WINERY, INC.",BITTER CREEK WINERY,403 CLARK ST,JEROME,AZ,86331,0000,YAVAPAI,34.7505552,-112.116338
AZ-W-15016,"LIGHTNING RIDGE CELLARS, LLC",,2368 HIGHWAY 83,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6598128,-110.5253565
AZ-W-15017,CLEAR CREEK VINEYARD AND WINERY LLC,,4053 E HIGHWAY 260,CAMP VERDE,AZ,86322,6047,YAVAPAI,34.546769,-111.844265
AZ-W-15018,ZEMPER RESERVE LLC,STUDIO VINO,1825  E GUADALUPE RD,TEMPE,AZ,85283,3276,MARICOPA,33.3637489,-111.9104764
AZ-W-15019,"WILHELM FAMILY VINEYARDS, LLC",WILHELM FAMILY VINEYARDS,21 MOUNTAIN RANCH DR,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6598128,-110.5253565
AZ-W-15021,"ARIZONA STRONGHOLD VINEYARDS, LLC",Arizona Stronghold Vineyards,4700 OLD HIGHWAY 279,CAMP VERDE,AZ,86322,8700,YAVAPAI,34.6345723,-111.9338951
AZ-W-15022,"PILLSBURY WINE COMPANY, LLC",PILLSBURY WINE COMPANY,6450 S BENNETT PL,WILLCOX,AZ,85643,0000,COCHISE,32.1276617,-109.7099523
AZ-W-15023,ODYSSEY CELLARS INC.,ODYSSEY CELLARS,8401 BELL RANCH RD,WILLCOX,AZ,85643,0000,COCHISE,31.9804934,-109.6782282
AZ-W-15024,"ARRIBA, LLC.",JUNIPER WELL RANCH,5425 N TONTO RD,SKULL VALLEY,AZ,86305,0000,YAVAPAI,34.6269149,-112.645965
AZ-W-15026,NORMAN JOSEPH BURGLIN AND JORDAN JOSEPH BURGLIN,CASAVINO CUSTOM WINERY,12005 N SAGUARO BLVD,FOUNTAIN HILLS,AZ,85268,4625,MARICOPA,33.595474,-111.714994
AZ-W-15029,"JEROME WINERY, INC.",BITTER CREEK WINERY,240 HULL ST,JEROME,AZ,86331,0000,YAVAPAI,34.751456,-112.115538
AZ-W-15031,"LAWRENCE DUNHAM VINEYARDS, LLC",LAWRENCE DUNHAM VINEYARDS,13922 S KUYKENDALL CUTOFF  RD,PEARCE,AZ,85625,0000,COCHISE,31.8772391,-109.4913472
AZ-W-15032,"GERALD, INC.",ROSE PEAK VINEYARDS,17251 W ASH CREEK RD,WILLCOX,AZ,85643,7601,COCHISE,32.508111,-110.213189
AZ-W-15033,"CALLAGHAN VINEYARDS, L.L.C.",CALLAGHAN VINEYARDS,336 ELGIN RD,ELGIN,AZ,85611,0000,SANTA CRUZ,31.6586514,-110.5425588
AZ-W-15034,"KWB CHANDLER, LLC",KOKOPELLI WINERY,35 W BOSTON ST,CHANDLER,AZ,85225,0000,MARICOPA,33.302027,-111.842024
